date,holiday_departure_zone_A,holiday_departure_zone_B,holiday_departure_zone_C,first_day_holidays_zone_A,first_day_holidays_zone_B,first_day_holidays_zone_C,holiday_day_zone_A,holiday_day_zone_B,holiday_day_zone_C,last_day_holidays_zone_A,last_day_holidays_zone_B,last_day_holidays_zone_C
2018-07-13,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-14,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-15,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-16,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-17,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-18,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-19,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-20,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-21,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-22,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-23,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-24,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-25,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-26,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-27,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-28,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-29,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-30,False,False,False,False,False,False,True,True,True,False,False,False
2018-07-31,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-01,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-02,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-03,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-04,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-05,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-06,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-07,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-08,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-09,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-10,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-11,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-12,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-13,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-14,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-15,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-16,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-17,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-18,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-19,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-20,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-21,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-22,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-23,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-24,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-25,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-26,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-27,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-28,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-29,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-30,False,False,False,False,False,False,True,True,True,False,False,False
2018-08-31,False,False,False,False,False,False,True,True,True,False,False,False
2018-09-01,False,False,False,False,False,False,True,True,True,False,False,False
2018-09-02,False,False,False,False,False,False,False,False,False,True,True,True
2018-10-20,True,True,True,False,False,False,False,False,False,False,False,False
2018-10-21,False,False,False,True,True,True,False,False,False,False,False,False
2018-10-22,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-23,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-24,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-25,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-26,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-27,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-28,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-29,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-30,False,False,False,False,False,False,True,True,True,False,False,False
2018-10-31,False,False,False,False,False,False,True,True,True,False,False,False
2018-11-01,False,False,False,False,False,False,True,True,True,False,False,False
2018-11-02,False,False,False,False,False,False,True,True,True,False,False,False
2018-11-03,False,False,False,False,False,False,True,True,True,False,False,False
2018-11-04,False,False,False,False,False,False,False,False,False,True,True,True
2018-12-22,True,True,True,False,False,False,False,False,False,False,False,False
2018-12-23,False,False,False,True,True,True,False,False,False,False,False,False
2018-12-24,False,False,False,False,False,False,True,True,True,False,False,False
2018-12-25,False,False,False,False,False,False,True,True,True,False,False,False
2018-12-26,False,False,False,False,False,False,True,True,True,False,False,False
2018-12-27,False,False,False,False,False,False,True,True,True,False,False,False
2018-12-28,False,False,False,False,False,False,True,True,True,False,False,False
2018-12-29,False,False,False,False,False,False,True,True,True,False,False,False
2018-12-30,False,False,False,False,False,False,True,True,True,False,False,False
2018-12-31,False,False,False,False,False,False,True,True,True,False,False,False
2019-01-01,False,False,False,False,False,False,True,True,True,False,False,False
2019-01-02,False,False,False,False,False,False,True,True,True,False,False,False
2019-01-03,False,False,False,False,False,False,True,True,True,False,False,False
2019-01-04,False,False,False,False,False,False,True,True,True,False,False,False
2019-01-05,False,False,False,False,False,False,True,True,True,False,False,False
2019-01-06,False,False,False,False,False,False,False,False,False,True,True,True
2019-02-09,False,True,False,False,False,False,False,False,False,False,False,False
2019-02-10,False,False,False,False,True,False,False,False,False,False,False,False
2019-02-11,False,False,False,False,False,False,False,True,False,False,False,False
2019-02-12,False,False,False,False,False,False,False,True,False,False,False,False
2019-02-13,False,False,False,False,False,False,False,True,False,False,False,False
2019-02-14,False,False,False,False,False,False,False,True,False,False,False,False
2019-02-15,False,False,False,False,False,False,False,True,False,False,False,False
2019-02-16,True,False,False,False,False,False,False,True,False,False,False,False
2019-02-17,False,False,False,True,False,False,False,True,False,False,False,False
2019-02-18,False,False,False,False,False,False,True,True,False,False,False,False
2019-02-19,False,False,False,False,False,False,True,True,False,False,False,False
2019-02-20,False,False,False,False,False,False,True,True,False,False,False,False
2019-02-21,False,False,False,False,False,False,True,True,False,False,False,False
2019-02-22,False,False,False,False,False,False,True,True,False,False,False,False
2019-02-23,False,False,True,False,False,False,True,True,False,False,False,False
2019-02-24,False,False,False,False,False,True,True,False,False,False,True,False
2019-02-25,False,False,False,False,False,False,True,False,True,False,False,False
2019-02-26,False,False,False,False,False,False,True,False,True,False,False,False
2019-02-27,False,False,False,False,False,False,True,False,True,False,False,False
2019-02-28,False,False,False,False,False,False,True,False,True,False,False,False
2019-03-01,False,False,False,False,False,False,True,False,True,False,False,False
2019-03-02,False,False,False,False,False,False,True,False,True,False,False,False
2019-03-03,False,False,False,False,False,False,False,False,True,True,False,False
2019-03-04,False,False,False,False,False,False,False,False,True,False,False,False
2019-03-05,False,False,False,False,False,False,False,False,True,False,False,False
2019-03-06,False,False,False,False,False,False,False,False,True,False,False,False
2019-03-07,False,False,False,False,False,False,False,False,True,False,False,False
2019-03-08,False,False,False,False,False,False,False,False,True,False,False,False
2019-03-09,False,False,False,False,False,False,False,False,True,False,False,False
2019-03-10,False,False,False,False,False,False,False,False,False,False,False,True
2019-04-06,False,True,False,False,False,False,False,False,False,False,False,False
2019-04-07,False,False,False,False,True,False,False,False,False,False,False,False
2019-04-08,False,False,False,False,False,False,False,True,False,False,False,False
2019-04-09,False,False,False,False,False,False,False,True,False,False,False,False
2019-04-10,False,False,False,False,False,False,False,True,False,False,False,False
2019-04-11,False,False,False,False,False,False,False,True,False,False,False,False
2019-04-12,False,False,False,False,False,False,False,True,False,False,False,False
2019-04-13,True,False,False,False,False,False,False,True,False,False,False,False
2019-04-14,False,False,False,True,False,False,False,True,False,False,False,False
2019-04-15,False,False,False,False,False,False,True,True,False,False,False,False
2019-04-16,False,False,False,False,False,False,True,True,False,False,False,False
2019-04-17,False,False,False,False,False,False,True,True,False,False,False,False
2019-04-18,False,False,False,False,False,False,True,True,False,False,False,False
2019-04-19,False,False,False,False,False,False,True,True,False,False,False,False
2019-04-20,False,False,True,False,False,False,True,True,False,False,False,False
2019-04-21,False,False,False,False,False,True,True,True,False,False,False,False
2019-04-22,False,False,False,False,False,False,True,False,True,False,True,False
2019-04-23,False,False,False,False,False,False,True,False,True,False,False,False
2019-04-24,False,False,False,False,False,False,True,False,True,False,False,False
2019-04-25,False,False,False,False,False,False,True,False,True,False,False,False
2019-04-26,False,False,False,False,False,False,True,False,True,False,False,False
2019-04-27,False,False,False,False,False,False,True,False,True,False,False,False
2019-04-28,False,False,False,False,False,False,False,False,True,True,False,False
2019-04-29,False,False,False,False,False,False,False,False,True,False,False,False
2019-04-30,False,False,False,False,False,False,False,False,True,False,False,False
2019-05-01,False,False,False,False,False,False,False,False,True,False,False,False
2019-05-02,False,False,False,False,False,False,False,False,True,False,False,False
2019-05-03,False,False,False,False,False,False,False,False,True,False,False,False
2019-05-04,False,False,False,False,False,False,False,False,True,False,False,False
2019-05-05,False,False,False,False,False,False,False,False,False,False,False,True
2019-05-29,True,True,True,False,False,False,False,False,False,False,False,False
2019-05-30,False,False,False,True,True,True,False,False,False,False,False,False
2019-05-31,False,False,False,False,False,False,True,True,True,False,False,False
2019-06-01,False,False,False,False,False,False,True,True,True,False,False,False
2019-06-02,False,False,False,False,False,False,False,False,False,True,True,True
2019-07-06,True,True,True,False,False,False,False,False,False,False,False,False
2019-07-07,False,False,False,True,True,True,False,False,False,False,False,False
2019-07-08,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-09,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-10,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-11,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-12,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-13,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-14,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-15,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-16,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-17,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-18,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-19,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-20,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-21,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-22,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-23,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-24,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-25,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-26,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-27,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-28,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-29,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-30,False,False,False,False,False,False,True,True,True,False,False,False
2019-07-31,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-01,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-02,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-03,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-04,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-05,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-06,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-07,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-08,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-09,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-10,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-11,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-12,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-13,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-14,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-15,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-16,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-17,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-18,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-19,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-20,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-21,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-22,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-23,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-24,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-25,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-26,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-27,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-28,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-29,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-30,False,False,False,False,False,False,True,True,True,False,False,False
2019-08-31,False,False,False,False,False,False,True,True,True,False,False,False
2019-09-01,False,False,False,False,False,False,False,False,False,True,True,True
2019-10-19,True,True,True,False,False,False,False,False,False,False,False,False
2019-10-20,False,False,False,True,True,True,False,False,False,False,False,False
2019-10-21,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-22,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-23,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-24,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-25,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-26,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-27,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-28,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-29,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-30,False,False,False,False,False,False,True,True,True,False,False,False
2019-10-31,False,False,False,False,False,False,True,True,True,False,False,False
2019-11-01,False,False,False,False,False,False,True,True,True,False,False,False
2019-11-02,False,False,False,False,False,False,True,True,True,False,False,False
2019-11-03,False,False,False,False,False,False,False,False,False,True,True,True
2019-12-21,True,True,True,False,False,False,False,False,False,False,False,False
2019-12-22,False,False,False,True,True,True,False,False,False,False,False,False
2019-12-23,False,False,False,False,False,False,True,True,True,False,False,False
2019-12-24,False,False,False,False,False,False,True,True,True,False,False,False
2019-12-25,False,False,False,False,False,False,True,True,True,False,False,False
2019-12-26,False,False,False,False,False,False,True,True,True,False,False,False
2019-12-27,False,False,False,False,False,False,True,True,True,False,False,False
2019-12-28,False,False,False,False,False,False,True,True,True,False,False,False
2019-12-29,False,False,False,False,False,False,True,True,True,False,False,False
2019-12-30,False,False,False,False,False,False,True,True,True,False,False,False
2019-12-31,False,False,False,False,False,False,True,True,True,False,False,False
2020-01-01,False,False,False,False,False,False,True,True,True,False,False,False
2020-01-02,False,False,False,False,False,False,True,True,True,False,False,False
2020-01-03,False,False,False,False,False,False,True,True,True,False,False,False
2020-01-04,False,False,False,False,False,False,True,True,True,False,False,False
2020-01-05,False,False,False,False,False,False,False,False,False,True,True,True
2020-02-08,False,False,True,False,False,False,False,False,False,False,False,False
2020-02-09,False,False,False,False,False,True,False,False,False,False,False,False
2020-02-10,False,False,False,False,False,False,False,False,True,False,False,False
2020-02-11,False,False,False,False,False,False,False,False,True,False,False,False
2020-02-12,False,False,False,False,False,False,False,False,True,False,False,False
2020-02-13,False,False,False,False,False,False,False,False,True,False,False,False
2020-02-14,False,False,False,False,False,False,False,False,True,False,False,False
2020-02-15,False,True,False,False,False,False,False,False,True,False,False,False
2020-02-16,False,False,False,False,True,False,False,False,True,False,False,False
2020-02-17,False,False,False,False,False,False,False,True,True,False,False,False
2020-02-18,False,False,False,False,False,False,False,True,True,False,False,False
2020-02-19,False,False,False,False,False,False,False,True,True,False,False,False
2020-02-20,False,False,False,False,False,False,False,True,True,False,False,False
2020-02-21,False,False,False,False,False,False,False,True,True,False,False,False
2020-02-22,True,False,False,False,False,False,False,True,True,False,False,False
2020-02-23,False,False,False,True,False,False,False,True,False,False,False,True
2020-02-24,False,False,False,False,False,False,True,True,False,False,False,False
2020-02-25,False,False,False,False,False,False,True,True,False,False,False,False
2020-02-26,False,False,False,False,False,False,True,True,False,False,False,False
2020-02-27,False,False,False,False,False,False,True,True,False,False,False,False
2020-02-28,False,False,False,False,False,False,True,True,False,False,False,False
2020-02-29,False,False,False,False,False,False,True,True,False,False,False,False
2020-03-01,False,False,False,False,False,False,True,False,False,False,True,False
2020-03-02,False,False,False,False,False,False,True,False,False,False,False,False
2020-03-03,False,False,False,False,False,False,True,False,False,False,False,False
2020-03-04,False,False,False,False,False,False,True,False,False,False,False,False
2020-03-05,False,False,False,False,False,False,True,False,False,False,False,False
2020-03-06,False,False,False,False,False,False,True,False,False,False,False,False
2020-03-07,False,False,False,False,False,False,True,False,False,False,False,False
2020-03-08,False,False,False,False,False,False,False,False,False,True,False,False
2020-04-04,False,False,True,False,False,False,False,False,False,False,False,False
2020-04-05,False,False,False,False,False,True,False,False,False,False,False,False
2020-04-06,False,False,False,False,False,False,False,False,True,False,False,False
2020-04-07,False,False,False,False,False,False,False,False,True,False,False,False
2020-04-08,False,False,False,False,False,False,False,False,True,False,False,False
2020-04-09,False,False,False,False,False,False,False,False,True,False,False,False
2020-04-10,False,False,False,False,False,False,False,False,True,False,False,False
2020-04-11,False,True,False,False,False,False,False,False,True,False,False,False
2020-04-12,False,False,False,False,True,False,False,False,True,False,False,False
2020-04-13,False,False,False,False,False,False,False,True,True,False,False,False
2020-04-14,False,False,False,False,False,False,False,True,True,False,False,False
2020-04-15,False,False,False,False,False,False,False,True,True,False,False,False
2020-04-16,False,False,False,False,False,False,False,True,True,False,False,False
2020-04-17,False,False,False,False,False,False,False,True,True,False,False,False
2020-04-18,True,False,False,False,False,False,False,True,True,False,False,False
2020-04-19,False,False,False,True,False,False,False,True,False,False,False,True
2020-04-20,False,False,False,False,False,False,True,True,False,False,False,False
2020-04-21,False,False,False,False,False,False,True,True,False,False,False,False
2020-04-22,False,False,False,False,False,False,True,True,False,False,False,False
2020-04-23,False,False,False,False,False,False,True,True,False,False,False,False
2020-04-24,False,False,False,False,False,False,True,True,False,False,False,False
2020-04-25,False,False,False,False,False,False,True,True,False,False,False,False
2020-04-26,False,False,False,False,False,False,True,False,False,False,True,False
2020-04-27,False,False,False,False,False,False,True,False,False,False,False,False
2020-04-28,False,False,False,False,False,False,True,False,False,False,False,False
2020-04-29,False,False,False,False,False,False,True,False,False,False,False,False
2020-04-30,False,False,False,False,False,False,True,False,False,False,False,False
2020-05-01,False,False,False,False,False,False,True,False,False,False,False,False
2020-05-02,False,False,False,False,False,False,True,False,False,False,False,False
2020-05-03,False,False,False,False,False,False,False,False,False,True,False,False
2020-05-20,True,True,True,False,False,False,False,False,False,False,False,False
2020-05-21,False,False,False,True,True,True,False,False,False,False,False,False
2020-05-22,False,False,False,False,False,False,True,True,True,False,False,False
2020-05-23,False,False,False,False,False,False,True,True,True,False,False,False
2020-05-24,False,False,False,False,False,False,False,False,False,True,True,True
2020-07-04,True,True,True,False,False,False,False,False,False,False,False,False
2020-07-05,False,False,False,True,True,True,False,False,False,False,False,False
2020-07-06,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-07,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-08,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-09,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-10,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-11,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-12,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-13,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-14,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-15,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-16,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-17,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-18,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-19,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-20,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-21,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-22,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-23,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-24,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-25,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-26,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-27,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-28,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-29,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-30,False,False,False,False,False,False,True,True,True,False,False,False
2020-07-31,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-01,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-02,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-03,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-04,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-05,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-06,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-07,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-08,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-09,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-10,False,False,False,False,False,False,True,True,True,False,False,False
2020-08-11,False,False,False,False,False,False,True,True,True,False,False,False
